pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,0,4,43.4800574919152,-110.76103481947517,2024-06-01,0,7,43.47376931369026,-110.74867433840525,1876,208,3,No,Rider App,On-Demand,On-Demand
2024-06-01,6,6,43.477362558390226,-110.7560906270472,2024-06-01,6,8,43.48095580309019,-110.75979877136818,718,127,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,10,43.4800574919152,-110.76597901190314,2024-06-01,6,13,43.477362558390226,-110.75979877136818,709,147,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,13,43.47826086956522,-110.75979877136818,2024-06-01,6,18,43.4800574919152,-110.76597901190314,845,293,1,No,Driver App,On-Demand,On-Demand
2024-06-01,6,13,43.47376931369026,-110.75238248272622,2024-06-01,6,17,43.4800574919152,-110.76350691568915,1857,215,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,24,43.47197269134028,-110.76350691568915,2024-06-01,6,27,43.47826086956522,-110.75979877136818,1082,158,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,27,43.47826086956522,-110.75979877136818,2024-06-01,6,30,43.47376931369026,-110.7560906270472,766,190,2,No,Driver App,On-Demand,On-Demand
2024-06-01,6,28,43.47197269134028,-110.75114643461923,2024-06-01,6,31,43.4800574919152,-110.76103481947517,1979,193,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,44,43.47646424721523,-110.74249409787028,2024-06-01,6,48,43.47826086956522,-110.76350691568915,2111,264,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,46,43.479159180740204,-110.74991038651224,2024-06-01,6,51,43.48634567014013,-110.76227086758216,1850,252,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,47,43.47556593604024,-110.76597901190314,2024-06-01,6,49,43.47826086956522,-110.77092320433111,806,121,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,50,43.47826086956522,-110.77092320433111,2024-06-01,6,52,43.47826086956522,-110.76350691568915,600,127,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,53,43.487243981315125,-110.76350691568915,2024-06-01,6,57,43.47826086956522,-110.76350691568915,1256,229,4,No,Rider App,On-Demand,On-Demand
2024-06-01,7,12,43.47646424721523,-110.74373014597728,2024-06-01,7,19,43.477362558390226,-110.76721506001013,2429,437,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,7,14,43.48904060366511,-110.76227086758216,2024-06-01,7,19,43.47376931369026,-110.7560906270472,2355,312,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,19,43.47646424721523,-110.74991038651224,2024-06-01,7,22,43.47826086956522,-110.76350691568915,1641,182,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,21,43.474667624865255,-110.75485457894021,2024-06-01,7,26,43.4800574919152,-110.76845110811712,1672,267,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,24,43.47646424721523,-110.74620224219126,2024-06-01,7,28,43.47376931369026,-110.7560906270472,1424,199,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,25,43.48454904779015,-110.76350691568915,2024-06-01,7,26,43.4800574919152,-110.76597901190314,767,86,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,26,43.4800574919152,-110.76845110811712,2024-06-01,7,33,43.474667624865255,-110.75485457894021,1672,416,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,29,43.47646424721523,-110.74249409787028,2024-06-01,7,32,43.4800574919152,-110.75979877136818,1750,203,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,32,43.47376931369026,-110.76474296379615,2024-06-01,7,34,43.4800574919152,-110.76350691568915,1019,132,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,42,43.47197269134028,-110.77092320433111,2024-06-01,7,46,43.48275242544017,-110.76227086758216,1856,242,2,No,Rider App,On-Demand,On-Demand
2024-06-01,7,44,43.4800574919152,-110.76597901190314,2024-06-01,7,49,43.47287100251527,-110.74867433840525,2049,298,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,49,43.47646424721523,-110.74620224219126,2024-06-01,7,52,43.479159180740204,-110.76350691568915,1844,203,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,49,43.48454904779015,-110.76350691568915,2024-06-01,7,52,43.4800574919152,-110.76597901190314,767,165,2,No,Rider App,On-Demand,On-Demand
