pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,0,4,43.48049,-110.7611,2024-06-01,0,7,43.4736,-110.748964,1876,208,3,No,Rider App,On-Demand,On-Demand
2024-06-01,6,6,43.4773,-110.756,2024-06-01,6,8,43.480578,-110.759431,718,127,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,10,43.48034,-110.765828,2024-06-01,6,13,43.477761,-110.760273,709,147,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,13,43.477888,-110.759785,2024-06-01,6,18,43.480321,-110.765766,845,293,1,No,Driver App,On-Demand,On-Demand
2024-06-01,6,13,43.473928,-110.751866,2024-06-01,6,17,43.479947,-110.763686,1857,215,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,24,43.471732,-110.763611,2024-06-01,6,27,43.478023,-110.759369,1082,158,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,27,43.477888,-110.759785,2024-06-01,6,30,43.473329,-110.756447,766,190,2,No,Driver App,On-Demand,On-Demand
2024-06-01,6,28,43.472057,-110.750942,2024-06-01,6,31,43.48049,-110.7611,1979,193,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,44,43.476859,-110.742726,2024-06-01,6,48,43.47858,-110.76325,2111,264,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,46,43.478713,-110.749721,2024-06-01,6,51,43.486255,-110.762728,1850,252,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,47,43.475913,-110.765423,2024-06-01,6,49,43.478315,-110.771064,806,121,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,50,43.478246,-110.77048,2024-06-01,6,52,43.47858,-110.76325,600,127,1,No,Rider App,On-Demand,On-Demand
2024-06-01,6,53,43.487295,-110.763989,2024-06-01,6,57,43.47858,-110.76325,1256,229,4,No,Rider App,On-Demand,On-Demand
2024-06-01,7,12,43.476418,-110.743918,2024-06-01,7,19,43.477156,-110.767093,2429,437,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,7,14,43.489304,-110.76273,2024-06-01,7,19,43.473329,-110.756447,2355,312,1,No,Rider App,On-Demand,On-Demand
2024-06-01,7,19,43.47606,-110.74986,2024-06-01,7,22,43.47861,-110.763246,1641,182,1,No,Rider App,On-Demand,On-Demand
